City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.32,77,92,0.28,PF,1679799307
1,jalu,29.0331,21.5482,12.53,64,0,3.99,LY,1679799307
2,codrington,-38.2667,141.9667,17.28,54,100,2.87,AU,1679799309
3,ilulissat,69.2167,-51.1,-14.99,61,15,0.51,GL,1679799310
4,buchanan,5.8808,-10.0467,25.44,86,53,0.27,LR,1679799311
5,hilo,19.7297,-155.09,26.85,73,40,4.12,US,1679799311
6,east london,-33.0153,27.9116,20.32,69,1,9.7,ZA,1679799312
7,vagur,61.4732,-6.8119,0.89,59,94,10.25,FO,1679799313
8,port elizabeth,-33.918,25.5701,20.05,78,0,11.32,ZA,1679799313
9,labuhan,-6.8844,112.2051,28.51,71,100,2.8,ID,1679799314
10,bluff,-46.6,168.3333,14.33,67,100,9.47,NZ,1679799315
11,roanoke rapids,36.4615,-77.6542,20.49,100,40,4.63,US,1679799315
12,malino,15.1257,120.6727,31.68,55,75,1.54,PH,1679799316
13,georgetown,5.4112,100.3354,29.96,79,20,1.54,MY,1679799114
14,baruun-urt,46.6806,113.2792,0.77,29,77,5.01,MN,1679799317
15,hobart,-42.8794,147.3294,20.7,59,20,5.14,AU,1679799309
16,koutiala,12.3917,-5.4642,28.04,14,23,2.34,ML,1679799318
17,lavrentiya,65.5833,-171.0,0.46,98,100,13.05,RU,1679799319
18,lorengau,-2.0226,147.2712,29.48,69,83,4.13,PG,1679799319
19,camacupa,-12.0167,17.4833,16.61,99,100,1.22,AO,1679799320
20,saravena,6.9538,-71.8752,27.44,45,98,0.88,CO,1679799320
21,vila do maio,15.1333,-23.2167,20.44,72,24,3.57,CV,1679799321
22,torbay,47.6666,-52.7314,0.32,95,40,10.8,CA,1679799322
23,nikolskoye,59.7035,30.7861,1.94,93,99,2.8,RU,1679799322
24,kodiak,57.79,-152.4072,6.73,57,0,3.6,US,1679799323
25,butaritari,3.0707,172.7902,27.56,80,99,7.22,KI,1679799323
26,atuona,-9.8,-139.0333,27.29,74,48,4.87,PF,1679799324
27,acarau,-2.8856,-40.12,24.95,87,19,2.82,BR,1679799324
28,ribeira grande,38.5167,-28.7,17.1,93,80,9.39,PT,1679799325
29,olafsvik,64.8945,-23.7142,-2.53,69,94,4.88,IS,1679799326
30,santa vitoria do palmar,-33.5189,-53.3681,19.86,90,91,6.05,BR,1679799326
31,prince rupert,54.3161,-130.3201,5.05,70,0,5.14,CA,1679799327
32,flin flon,54.7682,-101.865,-9.77,96,100,3.89,CA,1679799327
33,sertaozinho,-21.1378,-47.9903,24.06,72,100,0.14,BR,1679799221
34,chuy,-33.6971,-53.4616,19.83,89,91,6.03,UY,1679799328
35,busselton,-33.65,115.3333,22.1,47,74,5.43,AU,1679799329
36,iwaki,37.05,140.8833,11.68,96,100,4.45,JP,1679799329
37,mataura,-46.1927,168.8643,14.15,55,100,3.13,NZ,1679799330
38,cape town,-33.9258,18.4232,16.18,93,40,1.54,ZA,1679799300
39,ushuaia,-54.8,-68.3,9.81,53,75,5.14,AR,1679799115
40,warren,39.4334,-84.1666,7.44,74,0,3.09,US,1679799217
41,vaini,-21.2,-175.2,29.09,84,40,6.17,TO,1679799332
42,erenhot,43.6475,111.9767,3.95,12,83,4.65,CN,1679799333
43,yellowknife,62.456,-114.3525,-16.71,51,20,3.6,CA,1679799333
44,punta arenas,-53.15,-70.9167,9.06,61,40,15.43,CL,1679799149
45,kapaa,22.0752,-159.319,27.18,81,75,5.14,US,1679799334
46,safranbolu,41.2508,32.6942,8.23,90,2,0.24,TR,1679799335
47,new norfolk,-42.7826,147.0587,20.5,40,0,0.89,AU,1679799336
48,aitape,-3.1374,142.3475,28.84,74,77,2.07,PG,1679799336
49,itacare,-14.2775,-38.9967,24.16,88,95,1.93,BR,1679799337
50,sibolga,1.7427,98.7792,26.09,80,100,0.46,ID,1679799337
51,hithadhoo,-0.6,73.0833,28.04,76,58,3.77,MV,1679799338
52,teknaf,20.8624,92.3058,28.02,53,0,3.11,BD,1679799338
